link,img,brand,name,price,discount_price,Color,SSD,RAM,Operating_System,Screen_Size,Disk_Drive,Warranty Summary,rating_performance,rating_battery,rating_desing,rating_display,rating,count_rating,count_review,Warranty_Summary
https://www.flipkart.com/dell-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-new-inspiron-15-metal-laptop-thin-light/p/itm5f4212e9c967a?pid=COMGJ75HG3KKPEQS&lid=LSTCOMGJ75HG3KKPEQSJMDBXM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=9fe29769-d5c7-4da5-8eae-d9db42255dc4.COMGJ75HG3KKPEQS.SEARCH&ppt=None&ppn=None&ssid=04tml50nog0000001676066919008&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,DELL,"DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Metal Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver Aluminium, 1.63 Kg, With MS Office)","₹87,269","₹67,990",Platinum Silver Aluminium,Yes,16 GB,Windows 11 Home,39.62 cm (15.6 Inch),Not Available,,Null,Null,Null,Null,4.7,16,0,1 Year Onsite Hardware Service
https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-thin-light-laptop/p/itmc6461360364e0?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=9fe29769-d5c7-4da5-8eae-d9db42255dc4.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=04tml50nog0000001676066919008&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,ASUS,"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","₹50,990","₹37,990",Transparent Silver,Yes,8 GB,Windows 11 Home,39.62 cm (15.6 Inch),Not Available,,4.3,3.7,4.4,4.3,4.1,216,26,1 Year Onsite Warranty
https://www.flipkart.com/asus-vivobook-14-2022-ryzen-5-quad-core-amd-r5-3500u-8-gb-512-gb-ssd-windows-11-home-m415da-eb712ws-thin-light-laptop/p/itm291ea229a80a6?pid=COMGCG2GZKRCJUBZ&lid=LSTCOMGCG2GZKRCJUBZ1XPKVP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=en_QKQz%2FCAASdi1kboxTJXZ2l2xkhtmIsM4%2FNsZ6KKs6lxwyoH%2BTo43%2BEsYY8bWWrNnhSlgfHsLwv6sXJuAVolDNQ%3D%3D&ppt=None&ppn=None&ssid=04tml50nog0000001676066919008&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS,"ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)","₹57,990","₹38,990",Transparent Silver,Yes,8 GB,Windows 11 Home,35.56 cm (14 inch),Not Available,,4.1,3.6,4.2,4.0,4.2,406,36,1 Year Onsite Warranty
https://www.flipkart.com/acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itm04c565616da14?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGGYEBDUJ4PYS9.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/l5e81ow0/computer/j/w/o/ex-215-54-thin-and-light-laptop-acer-original-imagg28wzdeny2jq.jpeg?q=70,acer,"acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and Light Laptop  (15.6 Inch, Charcoal Black, 1.7 Kg)","₹44,999","₹33,990",Charcoal Black,Yes,8 GB,Windows 11 Home,39.62 cm (15.6 Inch),Not Available,,4.0,3.3,3.9,3.7,4.2,726,80,1 Year International Travelers Warranty (ITW)
https://www.flipkart.com/dell-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-new-inspiron-15-metal-laptop-thin-light/p/itm5f4212e9c967a?pid=COMGJ75HG3KKPEQS&lid=LSTCOMGJ75HG3KKPEQSJMDBXM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGJ75HG3KKPEQS.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,DELL,"DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Metal Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver Aluminium, 1.63 Kg, With MS Office)","₹87,269","₹67,990",Platinum Silver Aluminium,Yes,16 GB,Windows 11 Home,39.62 cm (15.6 Inch),Not Available,,Null,Null,Null,Null,4.7,16,0,1 Year Onsite Hardware Service
https://www.flipkart.com/hp-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-14s-fq0568au-thin-light-laptop/p/itm69710a61fcfdf?pid=COMGG63HHFBZ2BZP&lid=LSTCOMGG63HHFBZ2BZPO05AZF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGG63HHFBZ2BZP.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70,HP,"HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop  (14 inch, Jet Black, 1.41 Kg, With MS Office)","₹36,359","₹28,499",Jet Black,Yes,8 GB,Windows 11 Home,35.56 cm (14 inch),Not Available,,3.6,3.5,3.6,3.5,471.0,6,73,1 Year Onsite Warranty
https://www.flipkart.com/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=en_O%2BIjqjbIRE0OCQFRZaFerK6nNKtkFWXygIuw%2BMf%2BXmSWac31kfW5%2BS9uoglu37YM9IZh0tKUJjfPD7mBGNZmvw%3D%3D&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70,ASUS,"ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) G513IE-HN040WS Gaming Laptop  (15.6 inch, Eclipse Gray, 2.10 kg, With MS Office)","₹1,15,990","₹85,990",Eclipse Gray,Yes,16 GB,Windows 11 Home,39.62 cm (15.6 inch),Not Available,,4.3,3.5,4.5,4.1,4.5,168,18,1 Year Onsite Warranty
https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-14-ec1003au-thin-light-laptop/p/itm1a257206fe320?pid=COMGCGSTVVGKQTVA&lid=LSTCOMGCGSTVVGKQTVAJVF572&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_37&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGCGSTVVGKQTVA.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/d/w/i/-original-imagmnmsbhuxbazf.jpeg?q=70,HP,"HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Laptop  (14 Inch, Natural Silver, 1.41 Kg, With MS Office)","₹63,325","₹53,990",Natural Silver,Yes,8 GB,Windows 11 Home,35.56 cm (14 Inch),Not Available,,4.4,4.0,4.6,4.3,4.3,105,17,1 Year Onsite Warranty
https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-x515ja-laptop/p/itm46cefd99c9a5e?pid=COMGHXFZX7SGP39V&lid=LSTCOMGHXFZX7SGP39VB7BD9G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_38&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGHXFZX7SGP39V.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/h/l/x515ja-ej382ws-laptop-asus-original-imaghxfzcc6dgrqk.jpeg?q=70,ASUS,"ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop  (15.6 inch, Transparent Silver, 1.8 kg, With MS Office)","₹50,990","₹34,990",Transparent Silver,Yes,8 GB,Windows 11 Home,39.62 cm (15.6 inch),Not Available,,4.3,3.7,4.4,4.1,4.2,178,15,1 Year Onsite Warranty
https://www.flipkart.com/asus-vivobook-14-2022-ryzen-5-quad-core-amd-r5-3500u-8-gb-512-gb-ssd-windows-11-home-m415da-eb712ws-thin-light-laptop/p/itm291ea229a80a6?pid=COMGCG2GZKRCJUBZ&lid=LSTCOMGCG2GZKRCJUBZ1XPKVP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_39&otracker=AS_Query_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_3_na_na_na&fm=organic&iid=1fc36b57-f411-4a13-adc3-0900afc734c2.COMGCG2GZKRCJUBZ.SEARCH&ppt=None&ppn=None&ssid=hb7g7gge4w0000001676066920048&qH=312f91285e048e09,https://rukminim1.flixcart.com/image/416/416/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS,"ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)","₹57,990","₹38,990",Transparent Silver,Yes,8 GB,Windows 11 Home,35.56 cm (14 inch),Not Available,,4.1,3.6,4.2,4.0,4.2,406,36,1 Year Onsite Warranty
